# REGULARS
to overflow, overstromen/stroomde over/is overgestroomd
to sign, ondertekenen/ondertekende/ondertekend
to draw, tekenen/tekende/getekend
to subtitle, ondertitelen/ondertitelde/ondertiteld
to trump, troeven/troefde/getroefd
to convince, overtuigen/overtuigde/overtuigd
to gear, tuigen/tuigde/getuigd
to accept, aanvaarden/aanvaarde/aanvaard
to include/cover, omvatten/omvatte/omvat
to overheat, oververhitten/oververhitte/oververhit
to heat, verhitten/verhitte/verhit
to tire, vermoeien/vermoeide/vermoeid
to overlabour, zich oververmoeien/oververmoeide/oververmoeid
to hurry, zich overijlen/overijlde/overijld
to care, verzorgen/verzorgde/verzorgd

#E/A/A
to bring, brengen/bracht/gebracht
to spend time, doorbrengen/bracht door/doorgebracht
to invent, bedenken/bedacht/bedacht
to think, denken/dacht/gedacht
to consider, overdenken/overdacht/overdacht
to have, hebben/had/gehad

#A/A/A-en
to bake, bakken/bakte/gebakken
to burst, barsten/barstte/is gebarsten
to roast, braden/braadde/gebraden
to guess, raden/raadde/geraden
to advise, aanraden/raadde aan/aangeraden
to guess wrong, misraden/raadde mis/misgeraden
to laugh, lachen/lachte/gelachen
to load, laden/laadde/geladen
to overload, overladen/overlaadde/overladen
to wash, wassen/waste/gewassen

#E/A/O-en
to command, bevelen/beval/bevolen
to break, breken/brak/gebroken
to interrupt, onderbreken/onderbrak/onderbroken
to take, nemen/nam/genomen
to decrease, afnemen/nam af/is afgenomen
to increase, toenemen/toenam/is toegenomen
to undertake, ondernemen/ondernam/ondernomen
to speak, spreken/spraak/gesproken
to stab, steken/stak/gestoken
to steal, stelen/stal/gestolen

to enter, binnenkomen/kwam binnen/is binnengekomen
to come, komen/kwam/gekomen
to overcome/happen, overkomen/overkwam/is overkomen
to come out, uitkomen/kwam uit/is uitgekomen
to occur, voorkomen/voorkwam/voorkomen
to prevent, voorkomen/kwam voor/is voorgekomen
to release, vrijkomen/kwam vrij/is vrijgekomen

#X/A/E-en
to worship, aanbidden/aanbad/aanbeden
to pray, bidden/bad/gebeden
to overeat, (zich) overeten/overat/zich overeten
to eat, eten/at/gegeten
to heal, genezen/genas/genezen
to give, geven/gaf/gegeven
to surround, omgeven/omgaf/omgeven
to give up, opgeven/gaf op/opgegeven
to spend/publish, uitgeven/gaf uit/uitgegeven
to perform, optreden/trad op/opgetreden
to break a rule, overtreden/overtrad/overtreden
to step, treden/trad/getreden
to lie, liggen/lag/gelegen
to read, lezen/las/gelezen
to forget, vergeten/vergat/is vergeten
to sit, zitten/zat/gezeten

#X/Oo/O-en
to start, beginnen/begon/is begonnen
to convince, doordringen/doordrong/doordrongen
to push, dringen/drong/gedrongen
to drink, drinken/dronk/gedronken
to force, dwingen/dwong/gedwongen
to bind, binden/bond/gebonden
to shine, blinken/blonk/geblonken
to obtain, gelden/gold/gegolden
to gleam, glimmen/glom/geglommen
to jump, springen/sprong/is gesprongen
to cheat, bedriegen/bedroog/bedrogen
to enjoy, genieten/genoot/genoten
to offer, aanbieden/bood aan/aangeboden
to move, bewegen/bewoog/bewogen
to bid, bieden/bood/geboden
to bend, buigen/boog/gebogen
to dive, duiken/dook/is gedoken
to whistle, fluiten/floot/gefloten
to pour, gieten/goot/gegoten
to pour over, overgieten/overgoot/overgoten
to fill up, volgieten/goot vol/volgegoten
to progress, opschieten/schoot op/is opgeschoten
to smell, ruiken/rook/geroken
to curse/scold, schelden/schold/gescholden
to donate, schenken/schonk/geschonken
tos have, scheren/shoor/geschoren
to shoot, schieten/schoot/geschoten
to miss target, misschieten/schoot mis/misgeschoten
to startle, schrikken/schrok/is geschrokken
to push/shove, schuiven/schoof/geschoven
to close,sluiten/sloot/gesloten
to connect, aansluiten/sloot aan/aangesloten
to enclose, omsluiten/omsloot/omsloten
to melt, smelten/smolt/gesmolten
to spray, spuiten/spoot/gespoten
to invent, verzinnen/verzon/verzonnen
